,id,lat,lon,meaninterval,meanlikes,meandensity,likes/posts
234,533852,1.2883197,103.8374464,6463.997917,40.25,0.000154703,260175.9161
235,534939,1.3799289,103.935354,4998.518225,86.8,0.000200059,433871.3819
236,535486,1.290833,103.846009,4641.573939,116.9090909,0.000215444,542642.1896
237,539373,1.2940179,103.8166752,53174.77222,134.3333333,1.88059E-05,7143144.402
238,541164,1.2760953,103.8154437,41101.40455,36.81818182,2.43301E-05,1513278.986
239,542710,1.3509851,103.8718477,174085.12,36.5,5.74432E-06,6354106.88
240,543622,1.2512276,103.8223432,4131.770833,47.75,0.000242027,197292.0573
241,543766,1.324379,103.8511,4860.822222,34.41666667,0.000205727,167293.2981
242,548321,1.3083739,103.7689246,10077.74697,143.9090909,9.92285E-05,1450279.405
243,550566,1.3542468,103.9453525,4828.384167,66.36363636,0.000207109,320429.1311
244,550638,1.3499587,103.8729635,5506.125758,29,0.000181616,159677.647
245,551162,1.31484,103.89346,6052.54,30.5,0.00016522,184602.47
246,551667,1.3120787,103.8614413,5523.918077,38.11111111,0.000181031,210522.6556
247,556710,1.346088,103.752662,10921.37037,53,9.15636E-05,578832.6296
248,557353,1.330476,103.8045,46904.91364,100.1818182,2.13197E-05,4699019.53
249,558784,1.3051485,103.9032386,5617.577778,87.33333333,0.000178013,490601.7926
250,559023,1.3815626,103.7646615,7030.048929,67.28571429,0.000142247,473021.8636
251,559339,1.3479499,103.7847975,8573.119213,81.33333333,0.000116644,697280.3627
252,560651,1.4198132,103.8262904,308015.9979,31.25,3.24658E-06,9625499.935
253,560962,1.2862284,103.804452,5667.008333,28.75,0.00017646,162926.4896
254,561684,1.3354773,103.7464128,31982.18636,41.27272727,3.12674E-05,1319992.055
255,561692,1.3208009,103.7796286,5489.870895,32.11111111,0.000182154,176285.8543
256,562362,1.3020428,103.9051834,9901.94375,36.5,0.00010099,361420.9469
257,562636,1.3208117,103.9477203,8389.162554,55.83333333,0.000119201,468394.9093
258,569693,1.3604646,103.9701894,59209.0463,10.33333333,1.68893E-05,611826.8117
259,569897,1.296385,103.7955,7382.46,100.5,0.000135456,741937.23
260,572316,1.342717,103.6357907,8333.657022,25.16666667,0.000119995,209730.3684
261,574076,1.2882415,103.8092136,8367.485046,45.5,0.00011951,380720.5696
262,574420,1.3345501,103.7214894,5015.323611,83.66666667,0.000199389,419615.4088
263,574662,1.385387,103.9018653,4724.116263,42.36363636,0.00021168,200130.7435
264,574947,1.3046308,103.8248495,5091.413636,43.63636364,0.000196409,222170.7769
265,580531,1.355855,103.9896,7197.412963,96.55555556,0.000138939,694950.2072
266,581656,1.3366849,103.9107159,13811.66296,27.33333333,7.24026E-05,377518.7877
267,582496,1.3413691,103.9124145,24685.7197,44.18181818,4.05093E-05,1090659.979
268,584078,1.312709,103.9001786,12485.57273,27.63636364,8.00924E-05,345055.8281
269,587311,1.3632386,103.8360999,9823.879678,15,0.000101793,147358.1952
270,587502,1.3609849,103.828957,4998.971972,66,0.000200041,329932.1502
271,589421,1.302612,103.834251,8907.1625,26.83333333,0.000112269,239008.8604
272,590980,1.3270381,103.9523139,7306.696992,84.28571429,0.000136861,615850.1751
273,593341,1.28646,103.781881,58017.10152,28.63636364,1.72363E-05,1661398.816
274,595209,1.366577,103.692123,4924.565043,59.3,0.000203064,292026.707
275,598568,1.3052458,103.9050356,5889.239352,59.33333333,0.000169801,349428.2015
276,599159,1.3509485,103.8717898,19739.61,24.4,5.06596E-05,481646.484
277,599191,1.3147534,103.8934139,5348.316667,19.3,0.000186975,103222.5117
278,599289,1.301206,103.91338,34077.59167,7.25,2.93448E-05,247062.5396
279,599369,1.325533,103.8494,22015.92273,34.27272727,4.54217E-05,754545.7153
280,599402,1.391528,103.901796,7917.948333,58,0.000126295,459241.0033
281,600974,1.393605,103.751,8228.175926,94.88888889,0.000121534,780762.4712
282,603399,1.3236038,103.9273405,7125.109259,87.77777778,0.000140349,625426.2572
283,603804,1.334509,103.904808,43331.66333,50.6,2.30778E-05,2192582.165
284,606361,1.423867,103.8408,4901.330162,37.25,0.000204026,182574.5485
285,607352,1.3249991,103.9323676,4925.425778,52.4,0.000203028,258092.3108
286,609005,1.3042241,103.7871827,5745.011667,47.3,0.000174064,271739.0518
287,609574,1.3478775,103.6861525,5843.013889,73.58333333,0.000171145,429948.4387
288,613699,1.294399,103.796,2560514.109,25.90909091,3.90547E-07,66340592.83
289,614131,1.2991034,103.7763985,6169.23,99.375,0.000162095,613067.2313
290,614208,1.285977,103.8442212,7024.16021,89.57142857,0.000142366,629164.0645
291,614848,1.3309414,103.6737907,7070.833135,156.4285714,0.000141426,1106080.326
292,615049,1.3256654,103.7245011,6187.59691,51.25,0.000161614,317114.3416
293,615637,1.303565,103.8355359,4168.879722,40.58333333,0.000239873,169187.0354
294,616050,1.3065886,103.906776,4641.075758,34.81818182,0.000215467,161593.8196
295,616860,1.3243518,103.9056642,16601.02167,58,6.02373E-05,962859.2567
296,620794,1.3361749,103.647081,9563.213333,29.1,0.000104567,278289.508
297,622661,1.3357543,103.7866572,117134.9933,17.5,8.53716E-06,2049862.383
298,623900,1.374419,103.944607,5650.131173,20.44444444,0.000176987,115513.7929
299,624048,1.3163601,103.8944973,5116.719697,40.45454545,0.000195438,206994.5696
300,624176,1.307408,103.820047,4876.862121,66,0.00020505,321872.9
301,624742,1.254724,103.82013,5049.891667,127.8,0.000198024,645376.155
302,624869,1.3179053,103.9742232,4922.734606,75,0.000203139,369205.0955
303,625893,1.3005999,103.7762314,4814.284545,114.3636364,0.000207715,550579.0871
304,626094,1.3071705,103.8001062,4929.528333,55.4,0.000202859,273095.8697
305,626622,1.3343934,103.9029264,7043.312194,64.85714286,0.000141979,456809.1052
306,627429,1.365791,103.753044,6533.463636,19.81818182,0.000153058,129481.3702
307,627754,1.354212,103.9450352,69315.11364,27.18181818,1.44269E-05,1884110.816
308,633870,1.431846,103.8283,8578.271429,23,0.000116574,197300.2429
309,635657,1.2995128,103.9009238,6156.664688,153.5,0.000162426,945048.0295
310,637078,1.3381428,103.7078091,8162.447917,60,0.000122512,489746.875
311,637728,1.334812,103.8507,8237.625,70.625,0.000121394,581782.2656
312,638012,1.354464,103.8515346,10635.43333,187.6666667,9.40253E-05,1995916.322
313,638296,1.3262617,103.8630239,10633.29259,40.33333333,9.40442E-05,428876.1346
314,639443,1.3504842,103.8716467,4973.124242,26.54545455,0.000201081,132013.8435
315,639618,1.3532356,103.8678688,7808.060093,41,0.000128073,320130.4638
316,640659,1.3736043,103.9522005,78369.71852,35.66666667,1.276E-05,2795186.627
317,642358,1.321744,103.779003,5479.375309,97,0.000182503,531499.4049
318,647033,1.296244,103.8554,13840.26806,57.91666667,7.22529E-05,801582.1916
319,648638,1.3182352,103.8071823,40079.09848,15.90909091,2.49507E-05,637622.0213
320,649118,1.2874968,103.8052007,6155.648333,25.7,0.000162452,158200.1622
321,649148,1.3188482,103.8173238,5684.124444,53.5,0.000175929,304100.6578
322,649349,1.350773,103.8726479,12870.92333,42.5,7.76945E-05,547014.2417
323,649394,1.3332036,103.7402315,4954.223487,39.9,0.000201848,197673.5171
324,650180,1.308251,103.7797,5433.951833,50.2,0.000184028,272784.382
325,651271,1.3193977,103.858045,40636.17143,9.285714286,2.46086E-05,377335.8776
326,654594,1.3094155,103.7796128,6188.170003,33.25,0.000161599,205756.6526
327,655190,1.327073,103.8542,5745.239394,264.3636364,0.000174057,1518832.378
328,656649,1.3226018,103.8136977,35150.89167,19.25,2.84488E-05,676654.6646
329,659250,1.3388744,103.7053308,8398.085602,19.66666667,0.000119075,165162.3502
330,664628,1.3532753,103.682812,5030.445722,86.4,0.00019879,434630.5104
331,668497,1.2958256,103.8024525,7366.698148,63,0.000135746,464101.9833
332,669604,1.3194968,103.8974476,6141.271076,94.125,0.000162833,578047.1401
333,670687,1.429894,103.8364,8183.036723,20.5,0.000122204,167752.2528
334,671263,1.304606,103.8089925,4480.072677,131.4545455,0.000223211,588925.9173
335,671528,1.314215,103.765138,5608.801759,26.33333333,0.000178291,147698.4463
336,675078,1.358651,103.933089,7211.660833,39,0.000138664,281254.7725
337,675600,1.3402715,103.7058604,2336886.72,32.1,4.2792E-07,75014063.71
338,678466,1.3910578,103.9079146,8180.528245,70.83333333,0.000122241,579454.084
339,680116,1.3226662,103.8136038,4550.968939,82.90909091,0.000219733,377316.6975
340,681592,1.3839734,103.8358007,5864.585802,15.77777778,0.000170515,92530.13155
341,687015,1.3781164,103.7727737,8860.485185,45.66666667,0.000112861,404628.8235
342,690108,1.289179,103.804857,5518.975833,34.88888889,0.000181193,192550.9346
343,691288,1.3185551,103.9740143,7060.385628,22,0.000141635,155328.4838
344,692438,1.389282,103.8561,13638.61212,120.9090909,7.33212E-05,1649032.193
345,692748,1.3739295,103.9323247,169081.7455,20.81818182,5.9143E-06,3519974.519
346,694679,1.3546018,103.8336121,5508.027809,60.44444444,0.000181553,332929.6809
